kelurahan_id,kelurahan_name,kecamatan_name,kota_kab_name,poverty_rate,avg_household_expenditure,zero_vehicle_hh_pct,dependency_ratio,data_source,population,pop_density,area_km2
IDN.4.3.1.1_1,Batuceper,Batuceper,KotaTangerang,0.0584,5402000,0.3447,0.4265,synthetic_v1,35256,22842.1,1.5434637851028647
IDN.4.3.1.2_1,Batujaya,Batuceper,KotaTangerang,0.0501,6000000,0.2624,0.4076,synthetic_v1,22839,18791.2,1.2154124463197913
IDN.4.3.1.3_1,Batusari,Batuceper,KotaTangerang,0.0628,5823000,0.3297,0.4291,synthetic_v1,33983,23143.7,1.468349309271953
IDN.4.3.1.4_1,KebonBesar,Batuceper,KotaTangerang,0.0722,5765000,0.2693,0.3853,synthetic_v1,35753,29499.0,1.212005281470378
IDN.4.3.1.5_1,PorisJaya,Batuceper,KotaTangerang,0.046,6678000,0.3737,0.3297,synthetic_v1,14888,18794.9,0.7921293086036655
IDN.4.3.1.6_1,Porisgaga,Batuceper,KotaTangerang,0.0451,6928000,0.3167,0.44,synthetic_v1,28031,19002.8,1.4750949642599007
IDN.4.3.1.7_1,PorisgagaBaru,Batuceper,KotaTangerang,0.0738,6166000,0.3236,0.3607,synthetic_v1,29917,29599.2,1.0107374306236598
IDN.4.3.2.1_1,Belendung,Benda,KotaTangerang,0.0638,7177000,0.3678,0.3479,synthetic_v1,69685,24068.4,2.8952878787569523
IDN.4.3.2.2_1,Benda,Benda,KotaTangerang,0.0447,5109000,0.2668,0.3845,synthetic_v1,54036,16931.6,3.1914310544642355
IDN.4.3.2.3_1,Jurumudi,Benda,KotaTangerang,0.0584,5932000,0.2703,0.3449,synthetic_v1,65427,23299.8,2.808053343832933
IDN.4.3.2.4_1,JurumudiBaru,Benda,KotaTangerang,0.043,5528000,0.3046,0.3691,synthetic_v1,31346,17315.4,1.8102934529706864
IDN.4.3.2.5_1,Pajang,Benda,KotaTangerang,0.0469,4433000,0.3476,0.4149,synthetic_v1,287572,16525.9,17.40124509749638
IDN.4.3.3.1_1,Cibodas,Cibodas,KotaTangerang,0.0625,5634000,0.2164,0.4252,synthetic_v1,26434,19348.2,1.366223119496966
IDN.4.3.3.2_1,CibodasBaru,Cibodas,KotaTangerang,0.0305,5587000,0.162,0.3636,synthetic_v1,5744,7649.5,0.7509010629405003
IDN.4.3.3.3_1,Cibodasari,Cibodas,KotaTangerang,0.0325,6935000,0.2623,0.3823,synthetic_v1,8449,8765.9,0.9638513981642384
IDN.4.3.3.4_1,Jatiuwung,Cibodas,KotaTangerang,0.0523,6121000,0.2889,0.4652,synthetic_v1,21869,14634.5,1.4943476582661075
