kelurahan_id,area_km2,road_length_km,road_density_km_per_km2,pct_primary_secondary,pct_residential_tertiary,pct_footway_pedestrian,avg_road_class_score,network_connectivity,n_road_segments,n_intersections
IDN.4.3.1.1_1,1.5435,24.4552,15.8444,23.12,76.64,0.24,2.6255,38.87,235,60
IDN.4.3.1.2_1,1.2154,18.6737,15.3641,30.03,69.19,0.79,2.8008,24.68,209,30
IDN.4.3.1.3_1,1.4683,13.5954,9.259,18.49,80.99,0.52,2.5236,13.62,154,20
IDN.4.3.1.4_1,1.212,9.9555,8.2141,28.97,68.25,2.78,2.9832,9.9,101,12
IDN.4.3.1.5_1,0.7921,14.6095,18.4433,4.64,95.34,0.02,2.104,22.72,205,18
IDN.4.3.1.6_1,1.4751,25.7219,17.4375,0.18,96.76,3.05,2.1058,47.45,323,70
IDN.4.3.1.7_1,1.0107,14.1136,13.9637,11.59,88.2,0.21,2.2444,24.73,173,25
IDN.4.3.2.1_1,2.8953,41.6247,14.3767,7.4,91.18,1.41,2.2442,23.83,459,69
IDN.4.3.2.2_1,3.1914,29.0981,9.1176,42.73,56.41,0.86,3.1845,5.95,196,19
IDN.4.3.2.3_1,2.8081,40.2544,14.3353,31.06,66.53,2.41,2.7305,24.57,397,69
IDN.4.3.2.4_1,1.8103,28.6496,15.8259,9.14,90.17,0.7,2.2671,39.77,345,72
IDN.4.3.2.5_1,17.4012,60.3054,3.4656,33.58,49.39,17.03,3.0491,3.1,514,54
IDN.4.3.3.1_1,1.3662,29.1486,21.3352,3.98,94.85,1.17,2.1926,39.53,345,54
IDN.4.3.3.2_1,0.7509,25.1619,33.5089,0.0,100.0,0.0,2.1032,55.93,265,42
IDN.4.3.3.3_1,0.9639,32.3977,33.6127,0.0,100.0,0.0,2.1224,85.08,327,82
IDN.4.3.3.4_1,1.4943,14.3685,9.6152,18.6,79.41,2.0,2.5002,14.72,141,22
IDN.4.3.3.5_1,2.8639,65.6633,22.9282,11.04,88.7,0.26,2.3749,48.19,638,138
IDN.4.3.3.6_1,1.5695,29.2003,18.6048,2.1,97.7,0.2,2.1411,28.67,339,45
IDN.4.3.4.1_1,1.1651,31.9155,27.3931,1.06,98.03,0.91,2.068,84.97,545,99
IDN.4.3.4.2_1,1.0462,30.5338,29.1852,9.35,89.39,1.25,2.1763,82.2,440,86
IDN.4.3.4.3_1,1.4677,36.9312,25.1618,8.79,91.09,0.12,2.2066,66.77,571,98
IDN.4.3.4.4_1,1.0349,31.3794,30.3213,12.26,87.53,0.22,2.317,57.98,344,60
IDN.4.3.4.5_1,0.8823,27.3219,30.9655,2.57,96.06,1.37,2.0632,83.87,372,74
IDN.4.3.4.6_1,1.0535,22.5312,21.3874,4.56,94.46,0.97,2.108,37.97,317,40
IDN.4.3.4.7_1,0.8675,22.9975,26.5111,11.25,88.54,0.21,2.2891,53.03,293,46
IDN.4.3.4.8_1,1.4336,40.2326,28.065,0.37,99.45,0.18,2.0636,88.59,594,127
IDN.4.3.5.1_1,1.6903,37.225,22.0225,6.77,91.71,1.52,2.2791,53.84,502,91
IDN.4.3.5.2_1,1.378,45.4218,32.962,0.0,99.93,0.07,2.0974,87.08,615,120
IDN.4.3.5.3_1,1.505,44.1052,29.3062,0.0,99.57,0.43,2.1043,69.77,605,105
