kelurahan_id,poi_reach_cbd_weighted
IDN.9.10.10.1_1,
IDN.9.10.10.2_1,
IDN.9.10.10.3_1,
IDN.9.10.10.4_1,
IDN.9.10.10.5_1,
IDN.9.10.10.6_1,
IDN.9.10.11.1_1,
IDN.9.10.11.2_1,
IDN.9.10.11.3_1,
IDN.9.10.11.4_1,
IDN.9.10.11.5_1,
IDN.9.10.11.6_1,
IDN.9.10.11.7_1,
IDN.9.10.7.3_1,
IDN.9.10.7.4_1,
IDN.9.10.8.1_1,
IDN.9.10.8.2_1,118.0
IDN.9.10.8.3_1,
IDN.9.10.8.4_1,
IDN.9.10.8.5_1,
IDN.9.10.8.6_1,
IDN.9.10.9.1_1,
IDN.9.10.9.2_1,
IDN.9.10.9.3_1,
IDN.9.10.9.4_1,
IDN.9.10.9.5_1,
IDN.9.10.9.6_1,
IDN.9.10.9.7_1,
IDN.9.15.1.1_1,
IDN.9.15.1.2_1,
IDN.9.15.1.3_1,
IDN.9.15.1.4_1,
IDN.9.15.2.1_1,48.0
IDN.9.15.2.2_1,79.0
IDN.9.15.2.3_1,97.0
IDN.9.15.2.4_1,82.0
IDN.9.15.2.5_1,65.0
IDN.9.15.3.1_1,
IDN.9.15.3.2_1,118.0
IDN.9.15.3.3_1,52.0
IDN.9.15.3.4_1,49.0
IDN.9.15.3.5_1,87.0
IDN.9.15.4.1_1,84.0
IDN.9.15.4.2_1,56.0
IDN.9.15.4.3_1,71.0
IDN.9.15.4.4_1,61.0
IDN.9.15.5.1_1,63.0
IDN.9.15.5.2_1,51.0
IDN.9.15.5.3_1,82.0
IDN.9.15.5.4_1,6.0
