h3_index,poi_reach_cbd_weighted
888c100001fffff,
888c10000dfffff,
888c100047fffff,
888c100051fffff,
888c100053fffff,
888c10006bfffff,
888c1000a5fffff,
888c1000b1fffff,
888c1000bdfffff,
888c1000c9fffff,
888c100103fffff,
888c10010dfffff,
888c10011bfffff,
888c100127fffff,
888c100155fffff,
888c100161fffff,
888c10016bfffff,
888c10016dfffff,
888c100185fffff,
888c1001b3fffff,
888c1001c9fffff,
888c1001cbfffff,
888c1001d7fffff,
888c1001e3fffff,
888c100211fffff,
888c10021dfffff,
888c100227fffff,
888c100229fffff,
888c100235fffff,
888c100241fffff,
888c100285fffff,
888c100287fffff,
888c100293fffff,
888c1002cdfffff,
888c1002d9fffff,
888c1002e5fffff,
888c10032bfffff,
888c100337fffff,
888c100343fffff,
888c10040bfffff,
888c100445fffff,
888c100451fffff,
888c10045dfffff,
888c100497fffff,
888c1004a3fffff,
888c1004adfffff,
888c1004bbfffff,
888c1004c7fffff,
888c100501fffff,
888c10050bfffff,
888c10050dfffff,
888c100519fffff,
888c100525fffff,
888c100553fffff,
888c100569fffff,
888c10056bfffff,
888c100583fffff,
888c1005b1fffff,
888c1005bdfffff,
888c1005c9fffff,
888c1005d5fffff,
888c100627fffff,
888c100633fffff,
888c10066dfffff,
888c100685fffff,
888c100691fffff,
888c1006d5fffff,
888c1006d7fffff,
888c1006e3fffff,
888c100729fffff,
888c100733fffff,
888c100735fffff,
888c100741fffff,
888c10074dfffff,
888c100837fffff,
888c100843fffff,
888c10084dfffff,
888c10085bfffff,
888c100867fffff,
888c100895fffff,
888c1008a1fffff,
888c1008abfffff,
888c1008adfffff,
888c1008b9fffff,
888c100909fffff,
888c10090bfffff,
888c100917fffff,
888c100951fffff,
888c10095dfffff,
888c100969fffff,
888c1009b9fffff,
888c1009bbfffff,
888c1009c7fffff,
888c1009d3fffff,
888c100a0dfffff,
888c100a17fffff,
888c100a19fffff,
888c100a25fffff,
888c100a31fffff,
888c100a6bfffff,
888c100a83fffff,
888c100ac9fffff,
888c100ad3fffff,
888c100ad5fffff,
888c100ae1fffff,
888c100aedfffff,
888c100b1bfffff,
888c100b27fffff,
888c100b31fffff,
888c100b33fffff,
888c100b4bfffff,
888c100c41fffff,
888c100c4dfffff,
888c100c59fffff,
888c100c93fffff,
888c100cabfffff,
888c100cb7fffff,
888c100d09fffff,
888c100d15fffff,
888c100d59fffff,
888c100d5bfffff,
888c100d67fffff,
888c100dadfffff,
888c100db7fffff,
888c100db9fffff,
888c100dc5fffff,
888c100dd1fffff,
888c100e0bfffff,
888c100e15fffff,
888c100e17fffff,
888c100e23fffff,
888c100e5dfffff,
888c100e69fffff,
888c100e81fffff,
888c100e8dfffff,
888c100ebbfffff,
888c100ec7fffff,
888c100ed1fffff,
888c100ed3fffff,
888c100eebfffff,
888c100f19fffff,
888c100f25fffff,
888c100f31fffff,
888c100f3dfffff,
888c101033fffff,
888c10103dfffff,
888c101091fffff,
888c10109bfffff,
888c10109dfffff,
888c1010a9fffff,
888c1010b5fffff,
888c101113fffff,
888c1011abfffff,
888c1011b5fffff,
888c1011b7fffff,
888c1011c3fffff,
888c101431fffff,
888c1014a7fffff,
888c101505fffff,
888c101511fffff,
888c10154bfffff,
888c101555fffff,
888c101557fffff,
888c101563fffff,
888c10159dfffff,
888c1015a9fffff,
888c1015b5fffff,
888c1015c1fffff,
888c101721fffff,
888c101739fffff,
888c101767fffff,
888c101823fffff,
888c10183bfffff,
888c101847fffff,
888c101853fffff,
888c101881fffff,
888c10188dfffff,
888c101897fffff,
888c101899fffff,
888c1018a5fffff,
888c1018ebfffff,
888c101903fffff,
888c10193dfffff,
888c101949fffff,
888c101955fffff,
888c101961fffff,
888c10199bfffff,
888c1019a5fffff,
888c1019a7fffff,
888c1019b3fffff,
888c101a03fffff,
888c101a05fffff,
888c101a11fffff,
888c101a1dfffff,
888c101a61fffff,
888c101a63fffff,
888c101aa9fffff,
888c101ab5fffff,
888c101ac1fffff,
888c101acdfffff,
888c101b07fffff,
888c101b13fffff,
888c101b1dfffff,
888c101b2bfffff,
888c101b37fffff,
888c101b65fffff,
888c102029fffff,
888c10202bfffff,
888c102037fffff,
888c102043fffff,
888c1020e5fffff,
888c10212dfffff,
888c102139fffff,
888c102143fffff,
888c102145fffff,
888c102151fffff,
888c10215dfffff,
888c10218bfffff,
888c1021a1fffff,
888c1021a3fffff,
888c1021bbfffff,
888c1021e9fffff,
888c102201fffff,
888c10220dfffff,
888c102247fffff,
888c102253fffff,
888c10226bfffff,
888c1022a5fffff,
888c1022c9fffff,
888c102303fffff,
888c10230dfffff,
888c10231bfffff,
888c102327fffff,
888c102361fffff,
888c10236bfffff,
888c10236dfffff,
888c10281bfffff,
888c102825fffff,
888c102827fffff,
888c102833fffff,
888c10286dfffff,
888c102883fffff,
888c102885fffff,
888c102891fffff,
888c1028cbfffff,
888c1028d7fffff,
888c1028e3fffff,
888c102929fffff,
888c102933fffff,
888c102935fffff,
888c102941fffff,
888c10294dfffff,
888c102987fffff,
888c102991fffff,
888c102993fffff,
888c1029abfffff,
888c1029e5fffff,
888c102a09fffff,
888c102a43fffff,
888c102a4dfffff,
888c102a5bfffff,
888c102a67fffff,
888c102a95fffff,
888c102aa1fffff,
888c102aabfffff,
888c102aadfffff,
888c102ab9fffff,
888c102ac5fffff,
888c102b09fffff,
888c102b0bfffff,
888c102b17fffff,
888c102b23fffff,
888c102b51fffff,
888c102b5dfffff,
888c102b67fffff,
888c102b69fffff,
888c102f09fffff,
888c102f67fffff,
888c103015fffff,
888c103017fffff,
888c103023fffff,
888c103069fffff,
888c103081fffff,
888c10308dfffff,
888c1030bbfffff,
888c1030c7fffff,
888c1030d1fffff,
888c1030d3fffff,
888c1030ebfffff,
888c103119fffff,
888c103125fffff,
888c103131fffff,
888c10313dfffff,
888c103149fffff,
888c103183fffff,
888c10318dfffff,
888c10319bfffff,
888c1031a7fffff,
888c1031d5fffff,
888c1031e1fffff,
888c1031ebfffff,
888c1031edfffff,
888c1032b5fffff,
888c103307fffff,
888c103313fffff,
888c103357fffff,
888c103359fffff,
888c103365fffff,
888c103523fffff,
888c103807fffff,
888c103811fffff,
888c103813fffff,
888c103859fffff,
888c103865fffff,
888c1038b7fffff,
888c1038c3fffff,
888c1038dbfffff,
888c103915fffff,
888c103921fffff,
888c10392dfffff,
888c103939fffff,
888c10398bfffff,
888c103997fffff,
888c1039d1fffff,
888c1039dbfffff,
888c1039ddfffff,
888c1039e9fffff,
888c103a23fffff,
888c103a39fffff,
888c103a3bfffff,
888c103a47fffff,
888c103a53fffff,
888c103a81fffff,
888c103a8dfffff,
888c103a97fffff,
888c103a99fffff,
888c103aa5fffff,
888c103ab1fffff,
888c103aebfffff,
888c103b03fffff,
888c103b3dfffff,
888c103b49fffff,
888c103b53fffff,
888c103b55fffff,
888c103b61fffff,
888c104001fffff,
888c104003fffff,
888c10401bfffff,
888c104049fffff,
888c104055fffff,
888c104061fffff,
888c10406dfffff,
888c1040a7fffff,70.0
888c1040b3fffff,113.0
888c1040bdfffff,71.0
888c1040cbfffff,
888c1040d7fffff,
888c104105fffff,119.0
888c104111fffff,66.0
888c10411bfffff,82.0
888c10411dfffff,67.0
