stop_id,stop_name,stop_lat,stop_lon,mode,modes_available,fare_tier,route_ids,n_routes,avg_headway_min,transit_mode_diversity,schedule_available,source_feed
transjakarta_Blok M,"Blok M, platform 1",-6.24329614639282,106.801963806152,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""12B"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1C"", ""1E"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4C"", ""4D"", ""4F"", ""5B"", ""5C"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6N"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""B13"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",123,10.0,1,False,transjakarta
transjakarta_166879179,Masjid Agung,-6.23655271530151,106.798446655273,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1C"", ""1E"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4C"", ""4D"", ""4F"", ""5B"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",119,10.0,1,False,transjakarta
transjakarta_1-3 Bundaran Senayan,Bundaran Senayan,-6.22782039642334,106.801010131836,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""12B"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1C"", ""1E"", ""1F"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4C"", ""4D"", ""4F"", ""5B"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""B13"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",122,10.0,1,False,transjakarta
transjakarta_1-4 Gelora Bung Karno,Gelora Bung Karno,-6.22418594360352,106.805793762207,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""12B"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1C"", ""1E"", ""1F"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4C"", ""4D"", ""4F"", ""5B"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""B13"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",122,10.0,1,False,transjakarta
transjakarta_1-5 Polda Metro Jaya,Polda Metro Jaya,-6.22107267379761,106.810256958008,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""12B"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1C"", ""1E"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4C"", ""4D"", ""4F"", ""5B"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",120,10.0,1,False,transjakarta
transjakarta_1-6 BENDUNGAN HILIR,Bendungan Hilir,-6.21715927124023,106.815231323242,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""12B"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1C"", ""1E"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4C"", ""4D"", ""4F"", ""5B"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",120,10.0,1,False,transjakarta
transjakarta_1-7 KARET,Karet Sudirman,-6.21243000030518,106.820022583008,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""12B"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1B"", ""1C"", ""1E"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4C"", ""4D"", ""4F"", ""5B"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",121,10.0,1,False,transjakarta
transjakarta_1-8 DUKUH ATAS 1,Dukuh Atas 1,-6.20572805404663,106.822235107422,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""12B"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1B"", ""1C"", ""1E"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4C"", ""4D"", ""4F"", ""5B"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",121,10.0,1,False,transjakarta
transjakarta_1-9 TOSARI,Tosari,-6.19689178466797,106.823089599609,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""12B"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1B"", ""1C"", ""1E"", ""1H"", ""1K"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4"", ""4C"", ""4D"", ""4F"", ""5B"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6C"", ""6M"", ""6P"", ""6R"", ""7B"", ""7C"", ""7D"", ""7P"", ""8D"", ""8E"", ""8K"", ""9D"", ""9H"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",122,10.0,1,False,transjakarta
transjakarta_425957666,Bundaran HI,-6.19300603866577,106.82299041748,BRT,"[""BRT""]",1,"[""1"", ""10D"", ""10K"", ""11K"", ""11Q"", ""13"", ""13A"", ""13C"", ""13D"", ""13E"", ""1E"", ""1H"", ""1M"", ""1N"", ""1P"", ""1R"", ""3E"", ""3F"", ""4D"", ""4F"", ""5C"", ""5F"", ""5M"", ""6"", ""6A"", ""6B"", ""6P"", ""6R"", ""7B"", ""7D"", ""7P"", ""8E"", ""8K"", ""9D"", ""9H"", ""JAK-1"", ""JAK-10"", ""JAK-11"", ""JAK-12"", ""JAK-14"", ""JAK-24"", ""JAK-34"", ""JAK-36"", ""JAK-37"", ""JAK-38"", ""JAK-39"", ""JAK-40"", ""JAK-44"", ""JAK-45"", ""JAK-47"", ""JAK-50"", ""JAK-51"", ""JAK-56"", ""JAK-58"", ""JAK-59"", ""JAK-60"", ""JAK-61"", ""JAK-64"", ""JAK-7"", ""JAK-72"", ""JAK-75"", ""JAK-77"", ""JAK-8"", ""JAK-88"", ""JAK.09"", ""JAK.10A"", ""JAK.10B"", ""JAK.112"", ""JAK.117"", ""JAK.13"", ""JAK.35"", ""JAK.41"", ""JAK.42"", ""JAK.43"", ""JAK.46"", ""JAK.49"", ""JAK.52"", ""JAK.53"", ""JAK.54"", ""JAK.71"", ""JAK.73"", ""JAK.74"", ""JAK.80"", ""JAK.84"", ""JAK.85"", ""OK-15"", ""OK-16"", ""OK-17"", ""OK-18"", ""OK-19"", ""OK-2"", ""OK-20"", ""OK-21"", ""OK-22"", ""OK-25"", ""OK-26"", ""OK-27"", ""OK-28"", ""OK-29"", ""OK-3"", ""OK-30"", ""OK-31"", ""OK-32"", ""OK-33"", ""OK-4"", ""OK-5"", ""OK-6"", ""S12"", ""S23"", ""S31"", ""TR1"", ""TR2""]",112,10.0,1,False,transjakarta
